ARRECADADO;NUM_ID_PARQ;ENDERECO;NUM_SERIAL;EMISSAO;VALIDADE;METODO_PAGAMENTO;
R$ 1,00;01234;Av. Ipiranga, 1234;00000;10/06/2016 15:26;10/06/2016 15:56;Moedas;
R$ 2,25;01234;Av. Ipiranga, 1234;00001;10/06/2016 15:27;10/06/2016 16:17;Moedas;
R$ 3,50;01234;Av. Ipiranga, 1234;00002;10/06/2016 15:27;10/06/2016 16:17;Moedas;
R$ 6,50;01234;Av. Ipiranga, 1234;00003;10/06/2016 15:27;10/06/2016 17:27;Moedas;
R$ 9,50;01234;Av. Ipiranga, 1234;00004;10/06/2016 15:28;10/06/2016 17:28;Cartão;
R$ 11,75;01234;Av. Ipiranga, 1234;00005;10/06/2016 15:28;10/06/2016 16:58;Cartão;
R$ 13,50;01234;Av. Ipiranga, 1234;00006;10/06/2016 15:28;10/06/2016 16:38;Cartão;
R$ 15,50;01234;Av. Ipiranga, 1234;00007;13/06/2016 14:30;13/06/2016 15:50;Cartão;
R$ 17,25;01234;Av. Ipiranga, 1234;00008;13/06/2016 14:30;13/06/2016 15:40;Cartão;
R$ 19,25;01234;Av. Ipiranga, 1234;00009;13/06/2016 14:31;13/06/2016 15:51;Cartão;
R$ 20,25;01234;Av. Ipiranga, 1234;00010;13/06/2016 14:31;13/06/2016 15:11;Cartão;
R$ 21,75;01234;Av. Ipiranga, 1234;00011;13/06/2016 14:31;13/06/2016 15:31;Cartão;
R$ 23,25;01234;Av. Ipiranga, 1234;00012;13/06/2016 14:31;13/06/2016 15:31;Moedas;
R$ 24,50;01234;Av. Ipiranga, 1234;00013;13/06/2016 14:31;13/06/2016 15:21;Moedas;
R$ 26,00;01234;Av. Ipiranga, 1234;00014;13/06/2016 14:31;13/06/2016 15:31;Moedas;
R$ 28,25;01234;Av. Ipiranga, 1234;00015;13/06/2016 14:32;13/06/2016 16:02;Moedas;
R$ 29,50;01234;Av. Ipiranga, 1234;00016;13/06/2016 14:32;13/06/2016 15:22;Moedas;
R$ 31,00;01234;Av. Ipiranga, 1234;00017;13/06/2016 15:32;13/06/2016 16:32;Moedas;
R$ 33,25;01234;Av. Ipiranga, 1234;00018;13/06/2016 15:33;13/06/2016 17:03;Moedas;
R$ 34,00;01234;Av. Ipiranga, 1234;00019;13/06/2016 15:33;13/06/2016 16:03;Moedas;
R$ 36,75;01234;Av. Ipiranga, 1234;00020;13/06/2016 15:33;13/06/2016 17:23;Moedas;
R$ 39,50;01234;Av. Ipiranga, 1234;00021;15/06/2016 15:33;15/06/2016 17:23;Moedas;
R$ 41,75;01234;Av. Ipiranga, 1234;00022;15/06/2016 15:33;15/06/2016 17:03;Moedas;
R$ 44,25;01234;Av. Ipiranga, 1234;00023;15/06/2016 15:34;15/06/2016 17:14;Moedas;
R$ 46,75;01234;Av. Ipiranga, 1234;00024;15/06/2016 15:34;15/06/2016 17:14;Moedas;
R$ 48,50;01234;Av. Ipiranga, 1234;00025;15/06/2016 16:35;15/06/2016 17:45;Moedas;
R$ 50,00;01234;Av. Ipiranga, 1234;00026;15/06/2016 16:35;15/06/2016 17:35;Moedas;
R$ 51,50;01234;Av. Ipiranga, 1234;00027;15/06/2016 16:36;15/06/2016 17:36;Moedas;
R$ 52,75;01234;Av. Ipiranga, 1234;00028;15/06/2016 16:36;15/06/2016 17:26;Moedas;
R$ 54,00;01234;Av. Ipiranga, 1234;00029;15/06/2016 16:36;15/06/2016 17:26;Cartão;
R$ 55,50;01234;Av. Ipiranga, 1234;00030;15/06/2016 16:36;15/06/2016 17:36;Cartão;
R$ 56,75;01234;Av. Ipiranga, 1234;00031;15/06/2016 16:36;15/06/2016 17:26;Cartão;
R$ 58,50;01234;Av. Ipiranga, 1234;00032;15/06/2016 17:37;15/06/2016 18:47;Cartão;
R$ 60,75;01234;Av. Ipiranga, 1234;00033;15/06/2016 17:37;15/06/2016 19:07;Cartão;
R$ 62,25;01234;Av. Ipiranga, 1234;00034;15/06/2016 17:37;15/06/2016 18:37;Cartão;
R$ 64,25;01234;Av. Ipiranga, 1234;00035;15/06/2016 17:37;15/06/2016 18:57;Cartão;
R$ 65,75;01234;Av. Ipiranga, 1234;00036;15/06/2016 17:37;15/06/2016 18:37;Cartão;
R$ 68,25;01234;Av. Ipiranga, 1234;00037;15/06/2016 17:37;15/06/2016 19:17;Cartão;
R$ 71,25;01234;Av. Ipiranga, 1234;00038;15/06/2016 17:38;15/06/2016 19:38;Cartão;
R$ 73,75;01234;Av. Ipiranga, 1234;00039;15/06/2016 17:38;15/06/2016 19:18;Cartão;
R$ 75,50;01234;Av. Ipiranga, 1234;00040;15/06/2016 17:38;15/06/2016 18:48;Cartão;
R$ 77,50;01234;Av. Ipiranga, 1234;00041;17/06/2016 09:38;17/06/2016 10:58;Cartão;
R$ 78,25;01234;Av. Ipiranga, 1234;00042;17/06/2016 09:39;17/06/2016 10:09;Cartão;
R$ 79,25;01234;Av. Ipiranga, 1234;00043;17/06/2016 09:39;17/06/2016 10:19;Cartão;
R$ 80,00;01234;Av. Ipiranga, 1234;00044;17/06/2016 09:39;17/06/2016 10:09;Cartão;
R$ 81,25;01234;Av. Ipiranga, 1234;00045;17/06/2016 09:40;17/06/2016 10:30;Moedas;
R$ 82,75;01234;Av. Ipiranga, 1234;00046;17/06/2016 09:40;17/06/2016 10:40;Moedas;
R$ 83,50;01234;Av. Ipiranga, 1234;00047;17/06/2016 09:40;17/06/2016 10:10;Moedas;
R$ 84,25;01234;Av. Ipiranga, 1234;00048;17/06/2016 09:40;17/06/2016 10:10;Moedas;
R$ 85,00;01234;Av. Ipiranga, 1234;00049;17/06/2016 09:40;17/06/2016 10:10;Moedas;
R$ 86,00;01234;Av. Ipiranga, 1234;00050;17/06/2016 09:40;17/06/2016 10:20;Moedas;
R$ 86,75;01234;Av. Ipiranga, 1234;00051;17/06/2016 09:41;17/06/2016 10:11;Moedas;
R$ 87,50;01234;Av. Ipiranga, 1234;00052;17/06/2016 09:41;17/06/2016 10:11;Moedas;
R$ 88,75;01234;Av. Ipiranga, 1234;00053;17/06/2016 09:41;17/06/2016 10:31;Moedas;
R$ 91,00;01234;Av. Ipiranga, 1234;00054;17/06/2016 09:41;17/06/2016 11:11;Moedas;
R$ 92,25;01234;Av. Ipiranga, 1234;00055;17/06/2016 09:41;17/06/2016 10:31;Moedas;
R$ 93,75;01234;Av. Ipiranga, 1234;00056;17/06/2016 09:41;17/06/2016 10:41;Moedas;
R$ 95,00;01234;Av. Ipiranga, 1234;00057;17/06/2016 09:41;17/06/2016 10:31;Moedas;
R$ 96,25;01234;Av. Ipiranga, 1234;00058;17/06/2016 09:41;17/06/2016 10:31;Moedas;
R$ 97,50;01234;Av. Ipiranga, 1234;00059;17/06/2016 09:41;17/06/2016 10:31;Moedas;
R$ 98,75;01234;Av. Ipiranga, 1234;00060;17/06/2016 09:41;17/06/2016 10:31;Moedas;
R$ 99,75;01234;Av. Ipiranga, 1234;00061;17/06/2016 09:42;17/06/2016 10:22;Moedas;
R$ 101,00;01234;Av. Ipiranga, 1234;00062;17/06/2016 10:42;17/06/2016 11:32;Moedas;
R$ 101,75;01234;Av. Ipiranga, 1234;00063;17/06/2016 10:42;17/06/2016 11:12;Moedas;
R$ 102,50;01234;Av. Ipiranga, 1234;00064;17/06/2016 10:42;17/06/2016 11:12;Moedas;
R$ 103,25;01234;Av. Ipiranga, 1234;00065;17/06/2016 10:42;17/06/2016 11:12;Moedas;
R$ 104,00;01234;Av. Ipiranga, 1234;00066;17/06/2016 10:42;17/06/2016 11:12;Moedas;
R$ 104,75;01234;Av. Ipiranga, 1234;00067;17/06/2016 10:42;17/06/2016 11:12;Moedas;
R$ 106,00;01234;Av. Ipiranga, 1234;00068;17/06/2016 10:42;17/06/2016 11:32;Moedas;
R$ 107,25;01234;Av. Ipiranga, 1234;00069;22/06/2016 10:42;22/06/2016 11:32;Moedas;
R$ 108,50;01234;Av. Ipiranga, 1234;00070;22/06/2016 10:43;22/06/2016 11:33;Moedas;
R$ 109,50;01234;Av. Ipiranga, 1234;00071;22/06/2016 10:43;22/06/2016 11:23;Moedas;
R$ 110,50;01234;Av. Ipiranga, 1234;00072;22/06/2016 10:43;22/06/2016 11:23;Moedas;
R$ 111,50;01234;Av. Ipiranga, 1234;00073;22/06/2016 10:43;22/06/2016 11:23;Moedas;
R$ 113,00;01234;Av. Ipiranga, 1234;00074;22/06/2016 10:43;22/06/2016 11:43;Moedas;
R$ 114,50;01234;Av. Ipiranga, 1234;00075;22/06/2016 10:43;22/06/2016 11:43;Moedas;
R$ 115,75;01234;Av. Ipiranga, 1234;00076;22/06/2016 10:43;22/06/2016 11:33;Moedas;
R$ 117,50;01234;Av. Ipiranga, 1234;00077;22/06/2016 10:43;22/06/2016 11:53;Moedas;
R$ 119,00;01234;Av. Ipiranga, 1234;00078;22/06/2016 12:44;22/06/2016 13:44;Moedas;
R$ 120,25;01234;Av. Ipiranga, 1234;00079;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 121,50;01234;Av. Ipiranga, 1234;00080;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 122,75;01234;Av. Ipiranga, 1234;00081;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 124,00;01234;Av. Ipiranga, 1234;00082;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 125,25;01234;Av. Ipiranga, 1234;00083;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 126,50;01234;Av. Ipiranga, 1234;00084;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 127,75;01234;Av. Ipiranga, 1234;00085;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 129,00;01234;Av. Ipiranga, 1234;00086;22/06/2016 12:44;22/06/2016 13:34;Moedas;
R$ 130,25;01234;Av. Ipiranga, 1234;00087;29/06/2016 13:45;29/06/2016 14:35;Moedas;
R$ 131,00;01234;Av. Ipiranga, 1234;00088;29/06/2016 13:45;29/06/2016 14:15;Moedas;
R$ 131,75;01234;Av. Ipiranga, 1234;00089;29/06/2016 13:45;29/06/2016 14:15;Moedas;
R$ 132,50;01234;Av. Ipiranga, 1234;00090;29/06/2016 13:45;29/06/2016 14:15;Moedas;
R$ 133,25;01234;Av. Ipiranga, 1234;00091;29/06/2016 13:45;29/06/2016 14:15;Moedas;
R$ 134,25;01234;Av. Ipiranga, 1234;00092;29/06/2016 13:45;29/06/2016 14:25;Moedas;
R$ 135,50;01234;Av. Ipiranga, 1234;00093;29/06/2016 13:45;29/06/2016 14:35;Moedas;
R$ 136,75;01234;Av. Ipiranga, 1234;00094;29/06/2016 15:48;29/06/2016 16:38;Cartão;
R$ 138,25;01234;Av. Ipiranga, 1234;00095;29/06/2016 15:48;29/06/2016 16:48;Cartão;
